id,tau,theta,omega,tau_est,theta_est,omega_est
1,1.3350895349368241,0.9508269801735878,0.9096802952699363,1.2937584333846726,0.9989792111581406,0.20372419088444105
4,1.7868432630876634,0.04637444159016013,0.6020876616239548,2.319009102092371,0.008555876793302284,0.2750541310079143
5,1.5262761173829045,0.8214625865221024,0.7507076980546117,0.9051159685150658,1.4227639652156772,0.37874721083109514
7,5.11572483227703,-0.7934634415432811,-0.8748359647579491,4.719233976800056,-0.6960700518183214,-0.7599314451381464
8,6.167246850325365,0.9954571900889277,0.9831986106000841,5.179625578681194,1.0265281951320935,0.6507438932182702
9,2.9653994385400453,0.45063125248998404,-0.02313624368980527,4.064429759397699,0.3700260761017671,-0.0352201735294133
10,1.1178222745798467,0.46414916310459375,0.35169495176523924,1.1062225104230574,0.5622662096405968,0.3131452183299872
11,1.2947554832470867,0.754994289483875,-0.07620654022321105,0.8569804210146147,1.4058930706935775,-0.062465379713238005
12,1.09362751731357,0.6250369078479707,0.5318702119402587,0.5715403655489291,0.9294292951016225,0.22094794549846944
16,2.215864227552887,0.7791741457767785,-0.7271893708966672,3.0488832742877343,0.6807556907722592,-0.4170460897576926
17,5.1703322578013085,0.6737201069481671,-0.9932340811938047,4.9095087363210546,0.6988305792141949,-0.753356282773842
18,1.1298362074864627,-0.42045702738687396,0.1554820453748107,0.796097428345531,-0.38613208168260327,0.37439223630607965
20,2.3168314298880253,-0.9445334710180759,-0.6839825459755957,2.523399130949272,-0.82697842431439506,-0.8150355687156537
23,2.7442764821656405,-0.3962000058963895,0.5816562557592988,2.4088156491564328,-0.43047920359209796,0.6840859006476017
24,1.7904875918159957,0.3388589583337307,0.5077891452237964,1.1988596994603953,0.6938311639158475,0.4808082503507783
26,2.5188517709242997,-0.9009521794505417,-0.2956226449459791,1.9567108802038078,-1.8012819185077376,-0.30571975138500895
27,1.3218939823421638,-0.7484634732827544,0.5499750934541225,0.9348710771288877,-0.9481043901866132,0.03506526421368082
30,1.0177969048136863,-0.017715558409690857,-0.9876344469375908,0.7780723323892492,-0.4079054913732464,8.760298022938812e-4
31,4.283918596231006,0.4653263255022466,0.045598907861858606,4.081382034749478,0.6130204852383951,0.1896182848951808
33,1.1132612357624418,0.36503272503614426,-0.38862256659194827,1.18428177436106,0.35152811156773955,0.0826650884062894
35,3.5859069878059633,-0.04827337805181742,0.1523847640492022,4.890719873495193,-0.07563916824029515,0.16084559116289018
37,1.306661297834426,-0.8948291065171361,0.6843145643360913,1.4764110846763283,-0.9278983925957445,0.33114396125884976
39,2.110208783962205,-0.8852055901661515,-0.2879781094379723,1.3055759735390293,-1.2444438674196978,0.03366614090435093
40,1.4809978911279398,0.9068792550824583,0.784724086523056,1.161549486611438,1.0987102814046013,0.09695512839983339
41,2.4671097141868383,0.356125280726701,0.3008407359011471,1.6422887831005697,0.42294645465732966,0.13002459837296187
43,2.1405481798181762,0.7415539617650211,0.31188880978152156,2.3233437118740707,0.5859383884101814,-0.1508188913455752
44,9.522331746684227,0.02096356777474284,0.7866452326998115,9.063665703576511,2.0603594782467376e-4,0.8167351367265354
46,1.1703079709395212,0.4112100275233388,-0.9358789906837046,1.8571325779698382,0.1577526959035171,-0.4999445445966739
48,4.823097863664618,0.29163043620064855,-0.6265932633541524,5.569185397499516,0.22184113261378832,-0.48894723945611085
49,3.470865258689006,-0.4782162494957447,0.2159871617332101,3.883399520906225,-0.49886991949260145,0.025553705414140943
52,2.333412602915762,-0.39743313472718,0.7712565399706364,1.977974516060675,-0.5823449074628428,0.7955471514827634
53,1.7255505191312568,0.2778887674212456,0.4419490438885987,1.1979924038995802,0.17341271443602413,0.12071941359887317
54,1.2839310417475103,-0.18442404177039862,0.2301786569878459,1.6979682919824404,-0.16369463874576498,-0.34450172297732834
56,1.6082203208591017,0.5947707495652139,0.8710261047817767,2.97184464820275,0.5038505182577624,0.8216212171540132
59,11.303450463346225,-0.4777372730895877,-0.09548720438033342,8.86089176460373,-0.40461554093369023,-0.25673949737712354
68,1.6826082917194711,-0.853453098796308,-0.25845856638625264,2.4348221709053957,-0.9467496353831606,-0.17168158199708924
69,1.1912695001751576,0.6368971830233932,-0.5280155404470861,0.9352292991346547,0.7163966938699988,-0.333000478850804
71,1.8354139617177019,-0.2712482060305774,0.4406104194931686,0.8116847653020051,-0.3755961932766241,0.480706407907952
73,2.0548421168797653,-0.7146581830456853,-0.34850696520879865,2.0337573220510325,-0.8157102834915375,-0.5928017603872573
75,1.5027414640381773,-0.7420302173122764,0.9323491281829774,1.107518036202733,-0.899368791222346,0.849419737809576
76,1.6384913789243454,0.7506158072501421,0.7878335295245051,1.11693707364891,0.9817211997390249,0.2424771910892521
78,1.9222001364612213,0.09360985411331058,-0.4571286803111434,1.0125405211662486,0.5753360294611526,-0.13199404572841836
83,3.96494478873033,0.07366066239774227,-0.6345292832702398,3.8756341230113236,0.16160338683341008,-0.6272680152206359
85,6.7151232040470825,0.10577321797609329,0.5530170476995409,5.716879981602763,0.14338632980090613,0.287797101809402
88,1.4648812337476322,0.8245463515631855,0.05037603294476867,1.263233457723353,1.2491215311310677,0.12863408385287406
93,1.80952333277,0.28867399552837014,-0.38913144962862134,1.4890486590169212,0.4494352904687195,-0.44656288381756504
94,3.339320295052341,-0.9500412251800299,0.08038907451555133,3.223829260328823,-0.9910360767135832,0.02183845404677678
96,1.5686991264264656,0.16790438815951347,-0.6014684173278511,0.4477662231722316,0.3952256402716887,-0.17062461610523552
98,3.220092440940896,0.12226048950105906,0.010315383784472942,3.315478147874633,0.172696415317519,0.05005580078258604
100,1.9196135503034573,-0.3319248021580279,-0.13266113493591547,1.9277895680903347,-0.3635873143586418,-0.04164343214038573
